"T","U:0","U:1","U:2","kappaEff","p_rgh","rhok","Points:0","Points:1","Points:2"
309.78,0.023335,-0.00073276,-0.00071447,1,0.90247,1,2.475,0.2,0.55
309.62,0.035185,-0.001535,-0.0011915,1,0.90543,1,2.475,0.21212,0.55
307.56,0.056259,-0.0028092,0.0022098,1,0.90516,1,2.475,0.22424,0.7
309.31,0.05442,-0.0024684,-0.0019305,1,0.91089,1,2.475,0.22424,0.55
307.19,0.068973,-0.0027712,0.0027033,1,0.91069,1,2.475,0.23636,0.7
309,0.067005,-0.0023829,-0.0023989,1,0.91557,1,2.475,0.23636,0.55
306.83,0.07809,-0.0021462,0.0030837,1,0.91525,1,2.475,0.24848,0.7
308.7,0.076122,-0.0017461,-0.0027762,1,0.91943,1,2.475,0.24848,0.55
306.48,0.085014,-0.0012053,0.0033891,1,0.91858,1,2.475,0.26061,0.7
308.4,0.083107,-0.00080584,-0.0030898,1,0.92224,1,2.475,0.26061,0.55
306.15,0.090451,-0.00012708,0.0036368,1,0.92066,1,2.475,0.27273,0.7
308.09,0.088639,0.00027173,-0.0033523,1,0.92393,1,2.475,0.27273,0.55
305.83,0.094806,0.00098573,0.0038381,1,0.92158,1,2.475,0.28485,0.7
307.78,0.093108,0.001389,-0.0035727,1,0.92457,1,2.475,0.28485,0.55
305.5,0.098338,0.0020795,0.0040013,1,0.92149,1,2.475,0.29697,0.7
307.47,0.096768,0.0024942,-0.0037584,1,0.92427,1,2.475,0.29697,0.55
305.17,0.10123,0.0031293,0.0041332,1,0.9205,1,2.475,0.30909,0.7
307.15,0.099802,0.0035623,-0.0039154,1,0.92313,1,2.475,0.30909,0.55
304.85,0.10363,0.0041261,0.0042395,1,0.91872,1,2.475,0.32121,0.7
306.83,0.10235,0.0045837,-0.0040492,1,0.92125,1,2.475,0.32121,0.55
304.53,0.10563,0.0050691,0.004325,1,0.91624,1,2.475,0.33333,0.7
306.5,0.10451,0.0055568,-0.0041648,1,0.91869,1,2.475,0.33333,0.55
304.21,0.10734,0.005962,0.0043942,1,0.91312,1,2.475,0.34545,0.7
306.17,0.1064,0.0064847,-0.0042664,1,0.91553,1,2.475,0.34545,0.55
303.9,0.10884,0.0068099,0.0044509,1,0.90943,1,2.475,0.35758,0.7
305.84,0.10807,0.0073718,-0.004358,1,0.91179,1,2.475,0.35758,0.55
303.59,0.11018,0.0076182,0.0044986,1,0.90519,1,2.475,0.3697,0.7
305.51,0.10961,0.0082227,-0.0044432,1,0.90752,1,2.475,0.3697,0.55
303.28,0.11144,0.0083914,0.0045407,1,0.90043,1,2.475,0.38182,0.7
305.17,0.11108,0.0090407,-0.0045254,1,0.90273,1,2.475,0.38182,0.55
302.97,0.11269,0.0091322,0.0045808,1,0.89513,1,2.475,0.39394,0.7
304.84,0.11254,0.0098271,-0.0046081,1,0.8974,1,2.475,0.39394,0.55
302.67,0.11398,0.0098409,0.0046224,1,0.88931,1,2.475,0.40606,0.7
304.51,0.11407,0.01058,-0.0046949,1,0.89154,1,2.475,0.40606,0.55
302.36,0.11539,0.010515,0.0046694,1,0.88295,1,2.475,0.41818,0.7
304.18,0.11573,0.011295,-0.0047897,1,0.88512,1,2.475,0.41818,0.55
302.07,0.117,0.011149,0.0047265,1,0.87602,1,2.475,0.4303,0.7
303.86,0.11761,0.011962,-0.0048971,1,0.87813,1,2.475,0.4303,0.55
301.77,0.11889,0.011733,0.0047992,1,0.8685,1,2.475,0.44242,0.7
303.53,0.1198,0.012566,-0.0050222,1,0.87054,1,2.475,0.44242,0.55
301.48,0.12118,0.012253,0.0048939,1,0.86034,1,2.475,0.45454,0.7
303.21,0.12241,0.013086,-0.0051715,1,0.86232,1,2.475,0.45454,0.55
301.2,0.124,0.012689,0.0050188,1,0.85149,1,2.475,0.46667,0.7
302.89,0.12558,0.013495,-0.0053529,1,0.85344,1,2.475,0.46667,0.55
300.91,0.1275,0.013011,0.0051837,1,0.8419,1,2.475,0.47879,0.7
302.57,0.12947,0.013753,-0.0055761,1,0.84389,1,2.475,0.47879,0.55
300.63,0.13189,0.01318,0.0054008,1,0.83146,1,2.475,0.49091,0.7
302.25,0.13431,0.01381,-0.0058535,1,0.83365,1,2.475,0.49091,0.55
300.36,0.13744,0.013137,0.0056846,1,0.82007,1,2.475,0.50303,0.7
301.93,0.14036,0.0136,-0.0062002,1,0.8227,1,2.475,0.50303,0.55
300.09,0.14451,0.012795,0.0060518,1,0.80755,1,2.475,0.51515,0.7
301.62,0.14801,0.013026,-0.0066346,1,0.81106,1,2.475,0.51515,0.55
299.82,0.15362,0.01201,0.0065184,1,0.7937,1,2.475,0.52727,0.7
301.31,0.15779,0.011954,-0.0071771,1,0.79879,1,2.475,0.52727,0.55
299.55,0.16556,0.01054,0.0070915,1,0.77829,1,2.475,0.53939,0.7
301,0.17053,0.010172,-0.0078475,1,0.78604,1,2.475,0.53939,0.55
299.29,0.18176,0.0079388,0.0077421,1,0.76121,1,2.475,0.55151,0.7
300.7,0.18768,0.0073323,-0.0086542,1,0.7732,1,2.475,0.55151,0.55
