"Node Number","Temperature","Points:0","Points:1","Points:2"
6552,180.12,4.96,0.1,0
6553,180.12,4.96,0.09,0
6554,180.12,4.96,0.08,0
6555,180.12,4.96,0.07,0
6556,180.12,4.96,0.06,0
6557,180.12,4.96,0.05,0
6558,180.12,4.96,0.04,0
6559,180.12,4.96,0.03,0
6560,180.12,4.96,0.02,0
6561,180.12,4.96,0.01,0
6562,180.12,4.95,0.99,0
6563,180.12,4.95,0.98,0
6564,180.12,4.95,0.97,0
6565,180.12,4.95,0.96,0
6566,180.12,4.95,0.95,0
6567,180.12,4.95,0.94,0
6568,180.12,4.95,0.93,0
6569,180.12,4.95,0.92,0
6570,180.12,4.95,0.91,0
6571,180.12,4.95,0.9,0
6572,180.12,4.95,0.89,0
6573,180.12,4.95,0.88,0
6574,180.12,4.95,0.87,0
6575,180.12,4.95,0.86,0
6576,180.12,4.95,0.85,0
6577,180.12,4.95,0.84,0
6578,180.12,4.95,0.83,0
6579,180.12,4.95,0.82,0
6580,180.12,4.95,0.81,0
6581,180.12,4.95,0.8,0
6582,180.12,4.95,0.79,0
6583,180.12,4.95,0.78,0
6584,180.12,4.95,0.77,0
6585,180.12,4.95,0.76,0
6586,180.12,4.95,0.75,0
6587,180.12,4.95,0.74,0
6588,180.12,4.95,0.73,0
6589,180.12,4.95,0.72,0
6590,180.12,4.95,0.71,0
6591,180.12,4.95,0.7,0
6592,180.12,4.95,0.69,0
6593,180.12,4.95,0.68,0
6594,180.12,4.95,0.67,0
6595,180.12,4.95,0.66,0
6596,180.12,4.95,0.65,0
6597,180.12,4.95,0.64,0
6598,180.12,4.95,0.63,0
6599,180.12,4.95,0.62,0
6600,180.12,4.95,0.61,0
6601,180.12,4.95,0.6,0
6602,180.12,4.95,0.59,0
6603,180.12,4.95,0.58,0
6604,180.12,4.95,0.57,0
6605,180.12,4.95,0.56,0
6606,180.12,4.95,0.55,0
6607,180.12,4.95,0.54,0
6608,180.12,4.95,0.53,0
6609,180.12,4.95,0.52,0
6610,180.12,4.95,0.51,0
6611,180.12,4.95,0.5,0
6612,180.12,4.95,0.49,0
6613,180.12,4.95,0.48,0
6614,180.12,4.95,0.47,0
6615,180.12,4.95,0.46,0
6616,180.12,4.95,0.45,0
6617,180.12,4.95,0.44,0
6618,180.12,4.95,0.43,0
6619,180.12,4.95,0.42,0
6620,180.12,4.95,0.41,0
6621,180.12,4.95,0.4,0
6622,180.12,4.95,0.39,0
6623,180.12,4.95,0.38,0
6624,180.12,4.95,0.37,0
6625,180.12,4.95,0.36,0
6626,180.12,4.95,0.35,0
6627,180.12,4.95,0.34,0
6628,180.12,4.95,0.33,0
6629,180.12,4.95,0.32,0
6630,180.12,4.95,0.31,0
6631,180.12,4.95,0.3,0
6632,180.12,4.95,0.29,0
6633,180.12,4.95,0.28,0
6634,180.12,4.95,0.27,0
6635,180.12,4.95,0.26,0
6636,180.12,4.95,0.25,0
6637,180.12,4.95,0.24,0
6638,180.12,4.95,0.23,0
6639,180.12,4.95,0.22,0
6640,180.12,4.95,0.21,0
6641,180.12,4.95,0.2,0
6642,180.12,4.95,0.19,0
6643,180.12,4.95,0.18,0
6644,180.12,4.95,0.17,0
6645,180.12,4.95,0.16,0
6646,180.12,4.95,0.15,0
6647,180.12,4.95,0.14,0
6648,180.12,4.95,0.13,0
6649,180.12,4.95,0.12,0
6650,180.12,4.95,0.11,0
6651,180.12,4.95,0.1,0
6652,180.12,4.95,0.09,0
6653,180.12,4.95,0.08,0
6654,180.12,4.95,0.07,0
6655,180.12,4.95,0.06,0
6656,180.12,4.95,0.05,0
6657,180.12,4.95,0.04,0
6658,180.12,4.95,0.03,0
6659,180.12,4.95,0.02,0
6660,180.12,4.95,0.01,0
6661,180.12,4.94,0.99,0
6662,180.12,4.94,0.98,0
6663,180.12,4.94,0.97,0
6664,180.12,4.94,0.96,0
6665,180.12,4.94,0.95,0
6666,180.12,4.94,0.94,0
6667,180.12,4.94,0.93,0
6668,180.12,4.94,0.92,0
6669,180.12,4.94,0.91,0
6670,180.12,4.94,0.9,0
6671,180.12,4.94,0.89,0
6672,180.12,4.94,0.88,0
6673,180.12,4.94,0.87,0
6674,180.12,4.94,0.86,0
6675,180.12,4.94,0.85,0
6676,180.12,4.94,0.84,0
6677,180.12,4.94,0.83,0
